source,flag,name,icon,description,type,mode,default,min,max
BentoBox,ALLAY,"悦灵与铜傀儡",AMETHYST_SHARD,"允许向悦灵给予物品或从中取走物品",PROTECTION,ADVANCED,MEMBER_RANK,VISITOR_RANK,OWNER_RANK
BentoBox,ANIMAL_NATURAL_SPAWN,"动物自然生成",APPLE,"切换动物的自然生成",SETTING,EXPERT,true,,
BentoBox,ANIMAL_SPAWNERS_SPAWN,"刷怪笼生成动物",SPAWNER,"切换使用刷怪笼生成动物",SETTING,EXPERT,true,,
BentoBox,ANVIL,"铁砧",ANVIL,"切换交互",PROTECTION,BASIC,MEMBER_RANK,VISITOR_RANK,OWNER_RANK
BentoBox,ARMOR_STAND,"盔甲架",ARMOR_STAND,"切换交互",PROTECTION,ADVANCED,MEMBER_RANK,VISITOR_RANK,OWNER_RANK
BentoBox,AXOLOTL_SCOOPING,"美西螈",AXOLOTL_BUCKET,"允许使用桶装取美西螈",PROTECTION,EXPERT,MEMBER_RANK,VISITOR_RANK,OWNER_RANK
BentoBox,BARREL,"木桶",BARREL,"切换木桶交互",PROTECTION,ADVANCED,MEMBER_RANK,VISITOR_RANK,OWNER_RANK
BentoBox,BEACON,"信标",BEACON,"切换交互",PROTECTION,EXPERT,MEMBER_RANK,VISITOR_RANK,OWNER_RANK
BentoBox,BED,"床",RED_BED,"切换交互",PROTECTION,EXPERT,MEMBER_RANK,VISITOR_RANK,OWNER_RANK
BentoBox,BED_ANCHOR_RESPAWN,"床/重生锚重生",RED_BED,"如果玩家是某个岛屿的成员，则在该岛屿上有效的床或重生锚处重生玩家",WORLD_SETTING,EXPERT,true,,
BentoBox,BLOCK_EXPLODE_DAMAGE,"爆炸伤害与破坏",TNT_MINECART,"允许床和重生锚破坏方块并对实体造成伤害",SETTING,ADVANCED,false,,
BentoBox,BOAT,"船",OAK_BOAT,"切换放置、破坏和进入船",PROTECTION,BASIC,MEMBER_RANK,VISITOR_RANK,OWNER_RANK
BentoBox,BREAK_BLOCKS,"破坏方块",STONE_PICKAXE,"切换破坏方块",PROTECTION,BASIC,MEMBER_RANK,VISITOR_RANK,OWNER_RANK
BentoBox,BREAK_HOPPERS,"破坏漏斗",HOPPER,"切换破坏漏斗。覆盖“破坏方块”标志。",PROTECTION,EXPERT,MEMBER_RANK,VISITOR_RANK,OWNER_RANK
BentoBox,BREAK_SPAWNERS,"破坏刷怪笼",SPAWNER,"切换破坏刷怪笼。覆盖“破坏方块”标志。",PROTECTION,EXPERT,MEMBER_RANK,VISITOR_RANK,OWNER_RANK
