source,placeholder,desc,version
BentoBox,[gamemode]_world_friendly_name,该游戏模式世界的名称,1.4.0
BentoBox,[gamemode]_world_islands,该游戏模式世界中的岛屿数量,1.5.0
BentoBox,[gamemode]_island_distance,该游戏模式世界中岛屿中心之间距离的一半,1.4.0
BentoBox,[gamemode]_island_distance_diameter,该游戏模式世界中岛屿之间的距离,1.5.0
BentoBox,[gamemode]_island_protection_range,岛屿保护范围的半径,1.4.0
BentoBox,[gamemode]_island_protection_range_diameter,岛屿保护范围的直径,1.5.0
BentoBox,[gamemode]_island_owner,岛屿所有者的名称,1.4.0
BentoBox,[gamemode]_island_creation_date,岛屿的创建日期,1.4.0
BentoBox,[gamemode]_island_name,岛屿的名称,1.4.0
BentoBox,[gamemode]_island_name_<number>,玩家第 <number> 个岛屿的名称,2.3.0
BentoBox,[gamemode]_island_center,岛屿中心的坐标,1.5.0
BentoBox,[gamemode]_island_center_x,岛屿中心的 X 坐标,1.5.0
BentoBox,[gamemode]_island_center_y,岛屿中心的 Y 坐标,1.5.0
BentoBox,[gamemode]_island_center_z,岛屿中心的 Z 坐标,1.5.0
BentoBox,[gamemode]_island_members_max,岛屿可拥有的最大成员数量,1.5.0
BentoBox,[gamemode]_island_members_count,岛屿上成员、副岛主和岛主的总人数,1.5.0
BentoBox,[gamemode]_island_members_list,岛屿上至少为成员级别的玩家名称列表（逗号分隔）,1.13.0
BentoBox,[gamemode]_island_members_list_<number>,玩家第 <number> 个岛屿上至少为成员级别的玩家名称列表（逗号分隔）,2.3.0
BentoBox,[gamemode]_island_trustees_count,岛屿上受信任玩家的数量,1.5.0
BentoBox,[gamemode]_island_coops_count,岛屿上合作玩家的数量,1.5.0
BentoBox,[gamemode]_island_visitors_count,当前正在访问该岛屿的玩家数量,1.5.0
BentoBox,[gamemode]_island_bans_count,被该岛屿封禁的玩家数量,1.5.0
BentoBox,[gamemode]_visited_island_protection_range,玩家当前所在岛屿的保护范围半径,1.5.2
BentoBox,[gamemode]_visited_island_protection_range_diameter,玩家当前所在岛屿的保护范围直径,1.5.2
BentoBox,[gamemode]_visited_island_owner,玩家当前所在岛屿的所有者名称,1.5.2
BentoBox,[gamemode]_visited_island_creation_date,玩家当前所在岛屿的创建日期,1.5.2
BentoBox,[gamemode]_visited_island_name,玩家当前所在岛屿的名称,1.5.2
BentoBox,[gamemode]_visited_island_center,玩家当前所在岛屿中心的坐标,1.5.2
BentoBox,[gamemode]_visited_island_center_x,玩家当前所在岛屿中心的 X 坐标,1.5.2
BentoBox,[gamemode]_visited_island_center_y,玩家当前所在岛屿中心的 Y 坐标,1.5.2
BentoBox,[gamemode]_visited_island_center_z,玩家当前所在岛屿中心的 Z 坐标,1.5.2
BentoBox,[gamemode]_visited_island_members_max,玩家当前所在岛屿可拥有的最大成员数量,1.5.2
BentoBox,[gamemode]_visited_island_members_count,玩家当前所在岛屿上成员、副岛主和岛主的总人数,1.5.2
BentoBox,[gamemode]_visited_island_members_list,玩家当前所在岛屿上至少为成员级别的玩家名称列表（逗号分隔）,1.13.0
BentoBox,[gamemode]_visited_island_trustees_count,玩家当前所在岛屿上受信任玩家的数量,1.5.2
BentoBox,[gamemode]_visited_island_coops_count,玩家当前所在岛屿上合作玩家的数量,1.5.2
BentoBox,[gamemode]_visited_island_visitors_count,当前正在访问玩家所在岛屿的玩家数量,1.5.2
